territoryName,totalMandates,availableMandates,numParishes,numParishesApproved,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,votersPercentage,subscribedVoters,totalVoters,pre.blankVotes,pre.blankVotesPercentage,pre.nullVotes,pre.nullVotesPercentage,pre.votersPercentage,pre.subscribedVoters,pre.totalVoters,Party,Mandates,Percentage,validVotesPercentage,Votes,Hondt,target,predict,real
2,4,12,147,114,6612,3.06,4008,1.85,53.93,400722,216128,5782,2.54,3909,1.71,55.87,408206,228064,18,0,0.16,0.17,346,0,0,0,0
1,5,0,156,156,3926,4.7,1363,1.63,36.5,228954,83565,3047,3.25,1583,1.69,41.22,227546,93803,8,0,0.39,0.42,326,0,0,0,0
16,2,16,55,32,3641,2.14,2687,1.58,54.48,312912,170464,3133,1.72,2803,1.54,58.91,309789,182498,6,0,1.24,1.29,2117,0,0,0,0
18,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,4,0,0.57,0.6,692,0,0,0,0
7,0,9,155,32,376,3.5,284,2.65,51.33,20899,10728,272,2.22,269,2.2,54.27,22576,12251,17,0,43.75,46.62,4694,5,1,1,1
12,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,19,0,0.62,0.63,801,0,0,0,0
2,4,12,147,117,6890,3.03,4213,1.85,54.09,419998,227182,6002,2.5,4109,1.71,56.03,427897,239738,19,0,0.2,0.21,449,0,0,0,0
0,0,3,69,64,1095,2.17,722,1.43,54.2,93011,50416,901,1.54,737,1.26,59.96,97416,58414,15,0,15.34,15.91,7734,0,0,0,0
16,18,0,55,55,8191,2.07,6038,1.53,53.64,736683,395160,7261,1.71,6183,1.46,58.33,726049,423500,13,0,0.18,0.18,692,0,0,0,0
12,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,15,3,37.15,38.03,48231,3,1,1,1
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,15,0,17.48,18.14,12937,0,0,0,0
8,9,0,67,67,4900,2.84,3069,1.78,45.83,376801,172699,4286,2.25,3079,1.62,51.38,370764,190484,1,1,12.31,12.9,21255,1,1,1,1
5,1,2,226,222,1169,2.05,1297,2.27,44.6,127926,57060,1068,1.7,1252,1.99,46.92,133988,62871,4,0,0.41,0.42,232,0,0,0,0
15,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,6,0,0.86,0.91,1782,0,0,0,0
16,1,17,55,28,2239,2.34,1527,1.6,53.56,178498,95605,1801,1.77,1587,1.56,58.21,174789,101741,4,0,0.93,0.96,885,0,0,0,0
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,9,0,0.42,0.44,311,0,0,0,0
3,0,3,75,23,125,1.69,136,1.84,52.24,14136,7384,122,1.37,140,1.57,58.12,15357,8926,6,0,0.46,0.48,34,0,0,0,0
13,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,19,0,0.22,0.23,115,0,0,0,0
3,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,16,0,0.15,0.15,95,0,0,0,0
6,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,19,0,0.29,0.31,273,0,0,0,0
18,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,20,0,0.87,0.91,1058,0,0,0,0
19,4,4,277,266,4252,2.75,3263,2.11,50.78,304500,154638,3615,2.17,3170,1.9,50.84,328110,166825,8,0,0.14,0.15,220,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,14,0,0.28,0.3,622,0,0,0,0
16,10,8,55,52,7511,2.13,5422,1.54,53.58,657503,352316,6587,1.75,5575,1.48,58.22,646295,376244,13,0,0.18,0.19,646,0,0,0,0
17,176,50,3092,3060,120160,2.6,82320,1.78,54.18,8520492,4616475,103438,2.12,79583,1.63,56.64,8616993,4880503,4,0,1.17,1.23,54170,2,1,0,1
20,5,0,197,197,2258,2.25,2397,2.39,45.76,219087,100260,1919,1.74,1960,1.78,48.26,228497,110273,12,0,0.58,0.61,579,0,0,0,0
14,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,11,0,2.27,2.36,262,1,1,0,1
3,0,3,75,23,125,1.69,136,1.84,52.24,14136,7384,122,1.37,140,1.57,58.12,15357,8926,2,0,1.75,1.81,129,0,0,0,0
20,0,5,197,94,584,2.04,779,2.72,44.04,65127,28685,509,1.57,608,1.87,46.49,69775,32439,17,0,37.64,39.52,10797,2,1,1,1
2,2,14,147,90,4566,3.07,2752,1.85,53.85,276062,148663,3991,2.54,2721,1.73,55.7,281672,156903,9,0,0.17,0.18,255,0,0,0,0
9,0,3,242,173,735,2.49,828,2.81,48.5,60818,29494,698,2.04,893,2.61,50.38,67834,34177,9,0,0.18,0.19,53,0,0,0,0
3,0,3,75,23,125,1.69,136,1.84,52.24,14136,7384,122,1.37,140,1.57,58.12,15357,8926,1,0,7.35,7.62,543,0,0,0,0
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,16,0,0.15,0.16,114,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,10,0,2.87,3.05,6413,0,0,0,0
16,2,16,55,34,4197,2.14,3108,1.58,54.79,358401,196379,3657,1.75,3221,1.54,59.21,352532,208734,6,0,1.27,1.32,2502,0,0,0,0
13,0,2,69,55,676,2.13,602,1.9,52.93,59875,31692,658,1.8,522,1.43,57.96,63020,36527,18,0,0.13,0.13,41,0,0,0,0
18,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,3,0,0.7,0.74,858,0,0,0,0
19,0,8,277,153,1485,2.6,1242,2.17,49.57,115266,57142,1265,1.99,1249,1.97,49.48,128277,63473,8,0,0.15,0.16,87,0,0,0,0
5,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,3,0,0.84,0.88,533,0,0,0,0
8,9,0,67,67,4900,2.84,3069,1.78,45.83,376801,172699,4286,2.25,3079,1.62,51.38,370764,190484,1,1,12.31,12.9,21255,1,1,1,1
20,1,4,197,165,1450,2.16,1659,2.47,44.08,152282,67126,1238,1.65,1386,1.85,46.64,160879,75032,15,1,39.96,41.9,26823,3,1,1,1
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,3,0,1.48,1.56,1135,0,0,0,0
1,5,0,156,156,3926,4.7,1363,1.63,36.5,228954,83565,3047,3.25,1583,1.69,41.22,227546,93803,4,0,0.68,0.73,568,0,0,0,0
5,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,13,0,0.19,0.2,121,0,0,0,0
13,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,6,0,0.56,0.59,287,0,0,0,0
7,9,0,155,155,6889,3.38,3814,1.87,53.66,380095,203950,5929,2.69,3536,1.61,56.33,390947,220211,5,0,0.07,0.08,149,0,0,0,0
16,0,18,55,20,798,2.53,478,1.52,52.23,60373,31533,609,1.73,440,1.25,57.73,60879,35146,16,0,0.23,0.24,73,0,0,0,0
4,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,8,0,0.21,0.23,1000,0,0,0,0
8,1,8,67,54,2871,3.01,1821,1.91,46.8,203731,95339,2549,2.4,1860,1.75,52.29,203490,106400,6,0,0.93,0.97,882,0,0,0,0
4,7,12,347,294,9692,3.06,5630,1.78,59.67,530712,316659,7160,2.21,4118,1.27,59.7,543661,324589,17,4,37.32,39.21,118167,9,1,0,1
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,19,0,0.2,0.21,154,0,0,0,0
17,217,9,3092,3091,129073,2.55,88296,1.74,54.45,9303887,5065806,112090,2.09,86149,1.61,56.95,9401620,5354009,0,0,0.77,0.8,38870,1,0,0,0
13,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,0,0,0.52,0.54,267,0,0,0,0
6,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,3,0,1.27,1.33,1187,0,0,0,0
15,3,6,141,136,5147,2.95,3416,1.96,54.76,318065,174182,4301,2.24,3386,1.76,58.1,330516,192023,15,1,25.15,26.45,43813,3,1,0,1
4,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,13,0,0.13,0.14,620,0,0,0,0
19,8,0,277,277,4991,2.81,3704,2.08,51.05,348057,177681,4235,2.22,3632,1.9,51.28,371931,190712,3,0,0.97,1.02,1722,0,0,0,0
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,13,0,0.09,0.1,70,0,0,0,0
6,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,18,0,0.17,0.18,157,0,0,0,0
6,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,1,0,11.05,11.6,10352,0,0,0,0
11,39,9,134,132,22963,2.15,15721,1.47,57.07,1867901,1065997,21416,1.92,16667,1.49,60.39,1849653,1116978,7,0,0.11,0.12,1209,0,0,0,0
6,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,12,0,0.74,0.78,694,0,0,0,0
5,0,3,226,195,806,2.07,881,2.27,44.39,87609,38886,718,1.64,858,1.96,46.74,93459,43680,6,0,0.37,0.38,142,0,0,0,0
2,16,0,147,147,10642,3.02,6375,1.81,54.55,645655,352179,9163,2.49,6130,1.67,56.31,653597,368071,1,2,9.96,10.46,35068,2,1,0,1
7,2,7,155,133,4571,3.62,2633,2.08,52.6,240186,126336,3817,2.76,2478,1.79,55.37,249780,138303,9,0,0.19,0.2,240,0,0,0,0
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,3,0,1.48,1.56,1135,0,0,0,0
8,9,0,67,67,4903,2.84,3064,1.77,45.83,376800,172697,4286,2.25,3079,1.62,51.38,370764,190484,2,0,3.81,3.99,6578,0,0,0,0
13,0,2,69,55,676,2.13,602,1.9,52.93,59875,31692,658,1.8,522,1.43,57.96,63020,36527,10,0,1.62,1.69,513,0,0,0,0
16,7,11,55,46,6266,2.14,4677,1.6,53.47,546364,292130,5461,1.75,4733,1.52,58.15,536926,312204,2,0,2.93,3.04,8556,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,19,0,0.22,0.23,486,0,0,0,0
1,5,0,156,155,3908,4.72,1346,1.63,36.45,227182,82806,3027,3.25,1567,1.68,41.2,225748,93009,16,0,0.5,0.54,416,0,0,0,0
3,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,1,0,9.08,9.44,5833,0,0,0,0
15,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,11,1,7.57,7.95,15662,1,1,0,1
14,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,8,0,0.16,0.17,19,0,0,0,0
14,40,0,243,243,21233,2.27,15185,1.63,58.59,1594688,934379,18902,1.97,14073,1.47,60.3,1591787,959919,10,1,3.46,3.6,32328,1,1,0,1
6,1,3,120,119,2079,2.38,2097,2.4,55.14,158492,87388,1957,2.01,2044,2.1,57.4,169613,97365,6,0,0.8,0.84,701,0,0,0,0
1,5,0,156,156,3926,4.7,1363,1.63,36.5,228954,83565,3047,3.25,1583,1.69,41.22,227546,93803,7,0,0.13,0.14,112,0,0,0,0
18,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,9,0,0.21,0.22,259,0,0,0,0
18,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,2,0,6.21,6.53,7576,0,0,0,0
8,1,8,67,57,3228,2.99,2030,1.88,45.97,235033,108041,2840,2.37,2034,1.7,51.44,233261,119995,6,0,0.94,0.99,1020,0,0,0,0
16,0,18,55,23,899,2.43,533,1.44,52.14,70885,36962,696,1.67,505,1.22,57.8,71900,41560,10,0,3.21,3.34,1185,0,1,0,1
2,16,0,147,147,10642,3.02,6375,1.81,54.55,645655,352179,9163,2.49,6130,1.67,56.31,653597,368071,19,0,0.2,0.21,701,0,0,0,0
7,3,6,155,152,5896,3.45,3432,2.01,52.73,324469,171077,5064,2.72,3171,1.7,55.43,335983,186241,13,0,0.23,0.25,399,0,0,0,0
0,0,3,69,52,728,2.08,497,1.42,53.49,65359,34961,579,1.42,494,1.21,59.59,68656,40910,0,0,0.5,0.52,174,0,0,0,0
17,96,130,3092,2936,94450,2.68,66099,1.87,53.42,6604621,3528307,80150,2.14,62968,1.68,55.75,6729631,3751991,14,0,0.27,0.28,9555,0,0,0,0
13,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,8,0,0.18,0.19,94,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,20,0,0.74,0.79,1653,0,0,0,0
9,0,3,242,233,1512,2.67,1551,2.74,49.15,115213,56630,1324,2.05,1534,2.37,51.19,126396,64702,2,0,5.26,5.56,2977,0,0,0,0
14,7,33,243,182,8269,2.35,6477,1.84,57.04,617542,352238,6645,1.83,5432,1.5,58.58,619592,362982,9,0,0.15,0.15,520,0,0,0,0
16,0,18,55,27,2018,2.33,1393,1.61,53.53,161564,86478,1604,1.74,1415,1.53,58.18,158649,92305,17,0,37.83,39.39,32716,9,1,1,1
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,16,0,0.15,0.16,114,0,0,0,0
4,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,4,0,0.82,0.86,3804,0,0,0,0
6,0,4,120,113,1371,2.39,1544,2.69,55.09,104284,57446,1315,2.01,1509,2.31,57.18,114233,65324,12,0,0.78,0.82,446,0,0,0,0
16,10,8,55,52,7511,2.13,5422,1.54,53.58,657503,352316,6587,1.75,5575,1.48,58.22,646295,376244,4,0,1.06,1.1,3740,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.87,414969,223540,6902,2.89,4699,1.97,56.26,423801,238433,15,5,33.51,35.64,74902,5,1,0,1
19,0,8,277,153,1485,2.6,1242,2.17,49.57,115266,57142,1265,1.99,1249,1.97,49.48,128277,63473,15,0,36.85,38.69,21054,4,1,1,1
11,39,9,134,132,22961,2.15,15729,1.48,57.07,1867900,1065978,21416,1.92,16667,1.49,60.39,1849653,1116978,14,0,0.44,0.46,4728,0,0,0,0
15,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,4,0,0.78,0.82,1605,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,13,0,0.24,0.26,546,0,0,0,0
12,2,4,54,49,488,0.54,1625,1.8,50.59,178447,90272,718,0.82,2551,2.93,48.82,178482,87136,1,0,4.85,4.96,4377,0,0,0,0
17,226,0,3092,3092,129599,2.54,88539,1.74,54.5,9343084,5092424,112666,2.09,86473,1.61,57.0,9439701,5380451,13,0,0.18,0.19,9217,0,0,0,0
14,40,0,243,243,21233,2.27,15185,1.63,58.59,1594688,934379,18902,1.97,14073,1.47,60.3,1591787,959919,14,0,0.21,0.22,1948,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.87,414969,223540,6902,2.89,4699,1.97,56.26,423801,238433,2,0,5.33,5.66,11905,0,0,0,0
12,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,11,0,2.08,2.13,2702,0,0,0,0
17,210,16,3092,3088,128360,2.55,87677,1.75,54.45,9227156,5024053,111410,2.1,85545,1.61,56.93,9323907,5307843,12,0,0.68,0.71,34058,1,0,0,0
2,9,7,147,135,8944,3.01,5400,1.82,54.41,546326,297272,7821,2.51,5219,1.67,56.28,554013,311820,9,0,0.18,0.19,527,0,0,0,0
7,9,0,155,155,6889,3.38,3814,1.87,53.66,380095,203950,5929,2.69,3536,1.61,56.33,390947,220211,17,5,39.02,41.19,79590,5,1,1,1
10,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0,0.84,0.89,63,0,0,0,0
15,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,15,3,25.2,26.48,52141,3,1,0,1
13,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,18,0,0.12,0.12,61,0,0,0,0
8,9,0,67,67,4903,2.84,3064,1.77,45.83,376800,172697,4286,2.25,3079,1.62,51.38,370764,190484,14,0,0.42,0.44,727,0,0,0,0
18,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,9,0,0.21,0.22,259,0,0,0,0
17,0,226,3092,918,7225,2.49,6868,2.37,50.63,573021,290114,6226,1.91,6271,1.92,51.97,626876,325776,2,0,4.92,5.17,14278,12,1,0,1
13,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,13,0,0.13,0.13,65,0,0,0,0
8,1,8,67,57,3228,2.99,2030,1.88,45.97,235033,108041,2840,2.37,2034,1.7,51.44,233261,119995,14,0,0.42,0.44,452,0,0,0,0
2,5,11,147,121,7282,3.05,4415,1.85,53.9,443403,238980,6345,2.52,4326,1.72,55.81,451203,251832,8,0,0.2,0.21,469,0,0,0,0
6,1,3,120,119,2079,2.38,2097,2.4,55.14,158492,87388,1957,2.01,2044,2.1,57.4,169613,97365,4,0,0.55,0.57,478,0,0,0,0
11,7,41,134,86,8997,2.38,5960,1.58,57.49,656467,377417,7971,2.01,6063,1.53,60.6,654169,396408,16,0,0.19,0.2,728,0,0,0,0
11,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,18,0,0.22,0.23,10,0,0,0,0
13,0,2,69,62,948,2.21,831,1.94,53.02,80778,42825,933,1.89,724,1.46,58.34,84810,49477,15,0,19.78,20.64,8472,0,0,0,0
2,2,14,147,86,4435,3.08,2675,1.86,54.01,266159,143762,3879,2.56,2644,1.74,55.87,271719,151813,6,0,0.59,0.62,844,0,0,0,0
1,2,3,156,147,3583,4.78,1229,1.64,36.25,206711,74932,2776,3.28,1448,1.71,41.13,205517,84523,7,0,0.13,0.14,98,0,0,0,0
5,0,3,226,220,945,1.99,1106,2.33,44.62,106353,47460,877,1.66,1060,2.0,46.89,112976,52975,15,0,41.77,43.66,19824,2,1,1,1
18,0,6,208,96,903,2.89,547,1.75,47.9,65198,31229,843,2.41,590,1.69,46.86,74584,34952,14,0,0.23,0.25,73,0,0,0,0
7,9,0,155,155,6889,3.38,3814,1.87,53.66,380095,203950,5929,2.69,3536,1.61,56.33,390947,220211,15,3,26.61,28.09,54279,3,1,0,1
15,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,1,1,10.22,10.74,21141,1,1,0,1
19,8,0,277,277,4991,2.81,3704,2.08,51.05,348057,177681,4235,2.22,3632,1.9,51.28,371931,190712,15,4,36.26,38.13,64427,4,1,1,1
3,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,14,0,0.31,0.32,200,0,0,0,0
15,3,6,141,134,5085,2.97,3359,1.96,54.77,313074,171481,4247,2.25,3341,1.77,58.16,325149,189092,17,2,37.7,39.65,64652,4,1,1,1
16,7,11,55,46,6266,2.14,4677,1.6,53.47,546364,292130,5461,1.75,4733,1.52,58.15,536926,312204,4,0,1.04,1.08,3025,0,0,0,0
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,8,0,0.19,0.2,143,0,0,0,0
17,163,63,3092,3045,115597,2.61,79534,1.79,53.99,8214906,4435382,99488,2.12,76666,1.63,56.45,8316249,4694642,1,12,9.5,9.94,421422,23,1,0,1
4,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,10,0,2.56,2.69,11934,0,0,0,0
4,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,17,8,36.4,38.25,169468,8,1,0,1
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,0,0,0.62,0.64,459,0,0,0,0
5,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,11,0,2.12,2.22,1347,0,0,0,0
5,0,3,226,195,806,2.07,881,2.27,44.39,87609,38886,718,1.64,858,1.96,46.74,93459,43680,10,0,0.99,1.03,385,0,0,0,0
11,0,48,134,38,1864,2.97,1283,2.05,56.78,110375,62671,1562,2.39,1206,1.85,59.59,109478,65242,3,0,2.1,2.22,1319,1,1,0,1
20,1,4,197,165,1450,2.16,1659,2.47,44.08,152282,67126,1238,1.65,1386,1.85,46.64,160879,75032,14,0,0.15,0.16,102,0,0,0,0
6,0,4,120,73,593,2.36,740,2.95,53.19,47149,25078,543,1.86,707,2.42,55.52,52676,29244,4,0,0.35,0.37,87,0,0,0,0
4,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,5,0,0.09,0.09,411,0,0,0,0
10,2,8,110,80,4821,3.8,3048,2.41,53.4,237303,126717,3962,2.9,2740,2.01,55.43,246298,136511,10,0,2.69,2.87,3405,0,0,0,0
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,18,0,0.22,0.24,171,0,0,0,0
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,13,0,0.13,0.14,103,0,0,0,0
6,0,4,120,73,593,2.36,740,2.95,53.19,47149,25078,543,1.86,707,2.42,55.52,52676,29244,1,0,8.75,9.24,2194,0,0,0,0
14,40,0,243,243,21233,2.27,15185,1.63,58.59,1594688,934379,18902,1.97,14073,1.47,60.3,1591787,959919,0,0,0.47,0.49,4370,0,0,0,0
16,7,11,55,49,6807,2.15,4997,1.58,53.35,594021,316934,5946,1.76,5070,1.5,57.97,582621,337742,14,0,0.44,0.46,1408,0,0,0,0
19,8,0,277,277,4991,2.81,3704,2.08,51.05,348057,177681,4235,2.22,3632,1.9,51.28,371931,190712,14,0,0.18,0.19,325,0,0,0,0
0,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,11,1,18.89,19.61,13980,1,1,0,1
12,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,3,0,0.7,0.72,911,0,0,0,0
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,14,0,0.22,0.23,165,0,0,0,0
5,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,13,0,0.19,0.2,121,0,0,0,0
17,16,210,3092,2302,44021,2.76,32205,2.02,52.49,3034550,1592854,36610,2.12,30204,1.75,54.4,3167533,1722982,0,0,0.56,0.59,8980,1,0,0,0
14,40,0,243,243,21233,2.27,15185,1.63,58.59,1594688,934379,18902,1.97,14073,1.47,60.3,1591787,959919,16,0,0.09,0.1,857,0,0,0,0
4,10,9,347,327,11859,3.1,6791,1.77,59.79,640737,383094,8700,2.22,5000,1.28,60.01,653441,392146,2,0,4.1,4.31,15719,0,1,0,1
